127.0.0.1 - - [17/Dec/2018:21:04:39 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [17/Dec/2018:21:04:41 +0900] "GET /HelloJSP/ HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [17/Dec/2018:21:07:23 +0900] "GET /HelloJSP/ HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [17/Dec/2018:21:09:41 +0900] "GET /HelloJSP/ HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [17/Dec/2018:21:09:52 +0900] "GET /HelloJSP/ HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [17/Dec/2018:21:10:12 +0900] "GET /HelloJSP/ HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [17/Dec/2018:21:11:18 +0900] "GET /HelloJSP/ HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [17/Dec/2018:21:11:25 +0900] "GET /HelloJSP/ HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - - [17/Dec/2018:21:14:57 +0900] "GET /HelloJSP/ HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [17/Dec/2018:21:15:15 +0900] "POST /HelloJSP/greeting-out.jsp HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [17/Dec/2018:21:27:30 +0900] "GET /HelloJSP/ HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [17/Dec/2018:21:28:46 +0900] "POST /HelloJSP/greeting-out.jsp HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [17/Dec/2018:21:28:53 +0900] "POST /HelloJSP/greeting-out.jsp HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [17/Dec/2018:21:29:37 +0900] "GET /HelloJSP/ HTTP/1.1" 200 785
0:0:0:0:0:0:0:1 - - [17/Dec/2018:21:29:49 +0900] "POST /HelloJSP/total-out.jsp HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [17/Dec/2018:21:30:09 +0900] "GET /HelloJSP/ HTTP/1.1" 200 787
0:0:0:0:0:0:0:1 - - [17/Dec/2018:21:30:22 +0900] "POST /HelloJSP/total-out.jsp HTTP/1.1" 500 3387
